"Sensitivity to Drainage (Low, Medium, High)",Good,Good,Good,Good,Good,Good
"Sensitivity to Erosion (Low, Medium, High)",High,High,Medium,High,Medium,High
"Sensitivity to Groundwater Depth (Low, Medium, High)",High,High,Medium,High,Medium,High
"Sensitivity to Irrigation (Low, Medium, High)",Assured,Assured,Assured,Assured,Assured,Assured
"Sensitivity to Rain Relaibility (Low, Medium, High)",Medium,Medium,Medium,Medium,Medium,Medium
"Sensitivity to Temperature (Low, Medium, High)",Medium,Medium,Low,Medium,Medium,Medium
"Sensitivity to Heat Days (Low, Medium, High)",High,High,Low,High,Medium,High
"Sensitivity to Frost (Low, Medium, High)",High,High,Low,High,Low,Low
"Sensitivity to Wind (Low, Medium, High)",Medium,Medium,High,Medium,High,Medium
"Sensitivity to Bio Index (Low, Medium, High)",Medium,Medium,Medium,Medium,Medium,Medium
"Sensitivity to Pest Pressure (Low, Medium, High)",High,High,Medium,High,Medium,High
"Sensitivity to Earthworms Count (Low, Medium, High)",Medium,Medium,Medium,Medium,Medium,Medium
"Sensitivity to Slope (Low, Medium, High)",Medium,Medium,Medium,Medium,Medium,Medium
"Sensitivity to Flood Risk (Low, Medium, High)",High,High,Medium,High,Medium,High
"Sensitivity to Drought Risk (Low, Medium, High)",Low,Low,Low,Low,Low,High
"Sensitivity to Calcium (Low, Medium, High)",High,High,Medium,High,Medium,Low
"Sensitivity to Bulk Density (Low, Medium, High)",Medium,Medium,Low,Medium,Low,High
Threshold Level of Nitrogen Kg/ha (Range),100-120,100-150,120-150,80-100,100-120,80-120
Threshold Level of Phosphorus Kg/ha (Range),60-80,60-80,80-100,50-60,60-80,60-80
Threshold Level of Potassium Kg/ha (Range),60-80,40-60,100-120,40-60,60-80,80-100
Threshold Level of Organic Carbon % (Range),0.6 - 1.2%,0.6 - 1.2%,0.8 - 1.5%,0.6 - 1.2%,0.6 - 1.2%,1.0 - 2.0%
Threshold Level of pH (Range),6.0 - 7.0,5.5 - 7.0,5.0 - 6.5,6.0 - 7.5,6.0 - 7.5,5.5 - 7.0
Threshold Level of Electrical Conductivity ds/m (Range),< 1.2 ds/m,< 1.5 ds/m,< 1.2 ds/m,< 1.5 ds/m,< 1.5 ds/m,< 1.2 ds/m
"Soil Texture (Clay,Loam,SandyLoam,Sandy,RedSoil,BlackCotton)","Loam, SandyLoam, RedSoil","Loam, ClayLoam, BlackCotton","SandyLoam, SiltLoam, RedSoil","Loam, SandyLoam, RedSoil, BlackCotton","Loam, SandyLoam, RedSoil","Loam, SandyLoam, SiltLoam, RedSoil"
Effective rooting depth,45 - 90 cm,45 - 90 cm,20 - 45 cm,40 - 80 cm,25 - 50 cm,30 - 60 cm
Threshold Level of Water Holding Capacity % (Range),50 - 70%,45 - 60%,60 - 80%,45 - 60%,50 - 70%,60 - 80%
"Suitability to Compact soils (Low, Moderate, High)",Low,Low,Low,Low,Low,Low
"Preferred drainage situation (Poor, Moderate, Good, Excessive)",Good,Good,Good,Good,Good,Good
"Crop suitability under erosion-risk soils (low, moderate, high)",low,low,low,low,low,low
Threshold level of Groundwater Depth meters (Range),> 1.2 m,> 1.2 m,> 0.8 m,> 1.2 m,> 0.8 m,> 1.0 m
"Irrigation requirement (None, Protective, Assured)",Assured,Assured,Assured,Assured,Assured,Assured
"Rain Reliability (Low, Medium, High)",Medium,Medium,High,Medium,High,Medium
Threshold Level of Temperature °C (Range),20 - 30 °C,22 - 32 °C,15 - 25 °C,24 - 35 °C,15 - 30 °C,25 - 35 °C
"Number of consecutive heat days crop can tolerate (i.e., temp >40°C)",3 - 5 days,5+ days,1 - 2 days,5+ days,3 - 5 days,7+ days
"Crop suitability under frost risk (Low, Moderate, High)",Low,Low,Medium,Low,Medium,Low
Threshold level of wind speed kmph (Range),< 20 kmph,< 25 kmph,< 15 kmph,< 25 kmph,< 15 kmph,< 20 kmph
"Required Biological Index i.e.,Soil microbiome activity (Low,Medium,High)",Medium,Medium,Medium,Medium,Medium,Medium
"Pest Pressure Tolerance (Low,Medium,High,VeryHigh)",High,High,Medium,High,Medium,Medium
Preferred slope % (Range),0 - 10%,0 - 10%,0 - 5%,0 - 10%,0 - 5%,0 - 10%
"Crop suitability to Flood Risk Soils (low, Medium, high)",low,low,low,low,low,low
"Crop suitability to Drought Risk Soils (low, Medium, high)",High,High,Low,High,Low,Low
Threshold level of Calcium meq/100g (Range),02-May,02-May,02-Apr,02-May,02-Apr,02-May
Threshold level of Bulk Density g/cc (Range),1.3 - 1.5,1.3 - 1.5,1.2 - 1.4,1.3 - 1.5,1.3 - 1.5,1.2 - 1.4
"Mention 5 Major Pests and Severity (Low, Medium, High)","Fruit Borer (High), Leaf Miner (High), Whitefly (High), Thrips (Medium), Aphids (Medium)","Shoot and Fruit Borer (High), Epilachna Beetle (Medium), Jassids (High), Aphids (Medium), Red Spider Mite (Medium)","Aphids (High), Potato Tuber Moth (High), Jassids (Medium), Cutworms (Medium), Whitefly (Medium)","Shoot and Fruit Borer (High), Whitefly (High), Jassids (High), Aphids (Medium), Mites (Low)","Thrips (High), Onion Maggot (Medium), Aphids (Low), Armyworm (Medium), Mites (Low)","Aphids (Medium), Mealybug (High), Scale Insects (Medium), Thrips (Low), Root-knot Nematode (Medium)"
"Mention 5 Major Diseases and Severity (Low, Medium, High)","DIS0058 (High), DIS0085 (High), DIS0069 (High), DIS0089 (High), DIS0014 (High)","DIS0092 (High), DIS0103 (High), DIS0014 (High), DIS0053 (Medium), DIS0123 (Low)","DIS0085 (High), DIS0058 (Medium), DIS0047 (Medium), DIS0021 (Medium), DIS0109 (High)","DIS0156 (High), DIS0059 (High), DIS0110 (Medium), DIS0151 (Medium), DIS0036 (Low)","DIS0111 (High), DIS0055 (Medium), DIS0015 (High), DIS0101 (Medium), DIS0140 (Medium)","DIS0045 (High), DIS0091 (Medium), DIS0099 (Low), DIS0048 (High), DIS0151 (Low)"
Is trap Crop for,No,No,No,No,No,No
Nutrient (Mineral) Deficiencies and Their Associated Syndrome,Ca: Blossom end rot; N: Pale leaves; Mg: Interveinal chlorosis; K: Uneven ripening,"N: Yellowing; P: Purpling of leaves; Zn: Small, narrow leaves",K: Leaf margin scorching; Mg: Interveinal chlorosis; B: Hollow heart; Mn: Brown spots on tubers,N: Pale leaves; P: Stunted; K: Leaf edge yellowing,"S: Yellowing of young leaves; N: Pale leaves, thick necks; P: Slow growth; B: Brittle leaves",N: Pale leaves; K: Leaf margin yellowing; Mg: Interveinal chlorosis
