Effective rooting depth,60 - 120 cm,90 - 150 cm,30 - 50 cm,25 - 40 cm,20 - 45 cm,45 - 75 cm
Threshold Level of Water Holding Capacity % (Range),45 - 60%,60 - 80%,50 - 70%,60 - 80%,45 - 60%,45 - 60%
"Suitability to Compact soils (Low, Moderate, High)",Low,Low,Low,Low,Low,Low
"Preferred drainage situation (Poor, Moderate, Good, Excessive)",Good,Good,Good,Good,Good,Good
"Crop suitability under erosion-risk soils (low, moderate, high)",low,low,low,low,low,low
Threshold level of Groundwater Depth meters (Range),> 1.5 m,> 1.5 m,> 1.0 m,> 1.0 m,> 0.8 m,> 1.2 m
"Irrigation requirement (None, Protective, Assured)",Assured,Assured,Assured,Assured,Assured,Assured
"Rain Reliability (Low, Medium, High)",High,High,High,High,High,Medium
Threshold Level of Temperature °C (Range),21 - 35 °C,20 - 35 °C,20 - 30 °C,20 - 30 °C,12 - 25 °C,20 - 32 °C
"Number of consecutive heat days crop can tolerate (i.e., temp >40°C)",3 - 5 days,5+ days,3 - 5 days,3 - 5 days,2 - 3 days,3 - 5 days
"Crop suitability under frost risk (Low, Moderate, High)",Low,Low,Low,Low,Medium,Low
Threshold level of wind speed kmph (Range),< 25 kmph,< 30 kmph,< 20 kmph,< 20 kmph,< 15 kmph,< 20 kmph
"Required Biological Index i.e.,Soil microbiome activity (Low,Medium,High)",Medium,High,Medium,Medium,Medium,Medium
"Pest Pressure Tolerance (Low,Medium,High,VeryHigh)",High,High,Medium,Medium,Medium,High
Preferred slope % (Range),0 - 10%,0 - 5%,0 - 8%,0 - 8%,0 - 5%,0 - 10%
"Crop suitability to Flood Risk Soils (low, Medium, high)",low,low,low,low,low,low
"Crop suitability to Drought Risk Soils (low, Medium, high)",High,Low,Low,Low,Low,High
Threshold level of Calcium meq/100g (Range),2 - 5,5 - 10,2 - 5,2 - 5,2 - 4,2 - 5
Threshold level of Bulk Density g/cc (Range),1.2 - 1.4,1.1 - 1.3,1.2 - 1.4,1.2 - 1.4,1.3 - 1.5,1.3 - 1.5
"Mention 5 Major Pests and Severity (Low, Medium, High)","PEST0034 (High), PEST0035 (High), PEST0058 (High), PEST0022 (Medium), PEST0036 (Medium)","PEST0020 (High), PEST0039 (High), PEST0038 (Medium), PEST0035 (Medium), PEST0057 (Medium)","PEST0082 (High), PEST0055 (Medium), PEST0033 (Medium), PEST0036 (Medium), PEST0062 (Low)","PEST0055 (High), PEST0082 (Medium), PEST0033 (Medium), PEST0036 (Medium), PEST0062 (Low)","PEST0036 (High), PEST0043 (Medium), PEST0057 (Medium), PEST0022 (Low), PEST0006 (Low)","PEST0036 (High), PEST0057 (High), PEST0022 (Medium), PEST0054 (High), PEST0035 (Medium)"
"Mention 5 Major Diseases and Severity (Low, Medium, High)","DIS0123 (Medium), DIS0151 (High), DIS0091 (Medium), DIS0017 (Medium), DIS0025 (Medium)","DIS0113 (High), DIS0134 (High), DIS0151 (Medium), DIS0072 (Medium), DIS0125 (Low)","DIS0116 (High), DIS0091 (High), DIS0087 (Medium), DIS0151 (Medium), DIS0057 (Low)","DIS0135 (High), DIS0157 (High), DIS0091 (Medium), DIS0014 (High), DIS0057 (Low)","DIS0111 (High), DIS0055 (Medium), DIS0101 (Medium), DIS0140 (Medium), DIS0125 (Low)","DIS0053 (High), DIS0005 (High), DIS0110 (High), DIS0151 (Medium), DIS0089 (High)"
Is trap Crop for,No,No,No,No,No,No
Nutrient (Mineral) Deficiencies and Their Associated Syndrome,N: Yellowing of older leaves; Mg: Purplish red leaves with green veins; Zn: Small leaves with bronzing,"N: Pale green leaves; P: Stunted, narrow leaves; Fe: Interveinal chlorosis (white stripes)","N: Pale yellow leaves; P: Dark green, reduced size; Fe: Chlorosis of young leaves",N: Yellowing; P: Purple-tinged leaves; Fe: Severe chlorosis,"N: Pale leaves, poor bulbing; S: Yellowing of young leaves","N: Pale yellow leaves; K: Leaf margin scorching; Zn: Narrow, mottled leaves"
